Report: Timing
Solution,,,,,,,,,,,Latency Cycles,Latency Time,Throughput Cycles,Throughput Time,Iterations,Total Cycles,Logical Input Delay,Max Input Delay,Logical Output Delay,Max Output Delay,Logical Max Delay,Max Delay,Slack,Clock Period,
lenet.v1,lenet,core,core:rlp,main,F_IFM,F_ROW,,,,,,,1280,12800.0,5,1280,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,F_IFM,F_ROW,F_COL,,,,,,1200,12000.0,5,1200,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,FC1_OUT,,,,,,,,60150,601500.0,15,60150,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,FC1_OUT,FC1_IN,,,,,,,60000,600000.0,400,60000,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,R3_OUT,,,,,,,,360,3600.0,120,360,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,FC2_OUT,,,,,,,,15246,152460.0,21,15246,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,FC2_OUT,FC2_IN,,,,,,,15120,151200.0,120,15120,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,R4_OUT,,,,,,,,252,2520.0,84,252,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,FC3_OUT,,,,,,,,850,8500.0,5,850,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,FC3_OUT,FC3_IN,,,,,,,840,8400.0,84,840,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,DEN,,,,,,,,10,100.0,10,10,,,,,,,,
lenet.v1,lenet,core,core:rlp,main,OUT,,,,,,,,140,1400.0,10,140,,,,,,,,
lenet.v2,,,,,,,,,,,126786,1267860.0,127629,1276290.0,,,4.3235,4.8235,6.3403,6.3503,8.7296,8.7296,0.02036146194642896,10.0
lenet.v2,lenet,core,,,,,,,,,126786,1267860.0,127629,1276290.0,,127629,,,,,,,,
lenet.v2,lenet,core,core:rlp,,,,,,,,126786,1267860.0,127629,1276290.0,Infinite,127629,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,,,,,,,126786,1267860.0,127629,1276290.0,Infinite,127629,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C1_OFM,,,,,,,,29067,290670.0,3,29067,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C1_OFM,C1_ROW_CLR,,,,,,,2520,25200.0,28,2520,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C1_OFM,C1_ROW_CLR,C1_COL_CLR,,,,,,1,10.0,28,2436,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C1_OFM,C1_ROW,,,,,,,23940,239400.0,28,23940,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C1_OFM,C1_ROW,C1_COL,,,,,,10,100.0,28,23856,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C1_OFM,C1_ROW_CPY,,,,,,,2604,26040.0,28,2604,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C1_OFM,C1_ROW_CPY,C1_COL_CPY,,,,,,1,10.0,28,2520,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,R1_OFM,,,,,,,,4722,47220.0,6,4722,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,R1_OFM,R1_ROW,,,,,,,28,280.0,784,4716,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,P1_OFM,,,,,,,,4962,49620.0,6,4962,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,P1_OFM,P1_ROW,,,,,,,4956,49560.0,14,4956,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,P1_OFM,P1_ROW,P1_COL,,,,,,4,40.0,14,4872,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C2_OFM,,,,,,,,66548,665480.0,4,66548,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C2_OFM,C2_ROW_CLR,,,,,,,480,4800.0,10,480,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C2_OFM,C2_ROW_CLR,C2_COL_CLR,,,,,,1,10.0,10,440,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C2_OFM,C2_IFM,,,,,,,65544,655440.0,6,65544,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C2_OFM,C2_IFM,C2_ROW,,,,,,65520,655200.0,10,65520,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C2_OFM,C2_IFM,C2_ROW,C2_COL,,,,,26,260.0,10,65280,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C2_OFM,C2_ROW_CPY,,,,,,,520,5200.0,10,520,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,C2_OFM,C2_ROW_CPY,C2_COL_CPY,,,,,,1,10.0,10,480,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,R2_OFM,,,,,,,,1648,16480.0,16,1648,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,R2_OFM,R2_ROW,,,,,,,10,100.0,100,1632,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,P2_OFM,,,,,,,,1856,18560.0,16,1856,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,P2_OFM,P2_ROW,,,,,,,1840,18400.0,5,1840,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,P2_OFM,P2_ROW,P2_COL,,,,,,4,40.0,5,1760,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,F_IFM,,,,,,,,448,4480.0,16,448,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,F_IFM,F_ROW,,,,,,,5,50.0,25,432,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,FC1_OUT,,,,,,,,12105,121050.0,15,12105,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,FC1_OUT,FC1_IN,,,,,,,2,20.0,400,12060,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,R3_OUT,,,,,,,,1,10.0,120,122,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,FC2_OUT,,,,,,,,5166,51660.0,21,5166,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,FC2_OUT,FC2_IN,,,,,,,2,20.0,120,5103,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,R4_OUT,,,,,,,,1,10.0,84,86,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,FC3_OUT,,,,,,,,860,8600.0,5,860,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,FC3_OUT,FC3_IN,,,,,,,2,20.0,84,850,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,DEN,,,,,,,,1,10.0,10,10,,,,,,,,
lenet.v2,lenet,core,core:rlp,main,OUT,,,,,,,,1,10.0,10,27,,,,,,,,
